hotel_nombre;consumo_energia_kwh;residuos_generados_kg;porcentaje_reciclaje;uso_agua_m3;fecha
Alletra Diamond Grand Hotel;2866;1868;775;3126;2021-08-18
ProLiant Towers;1876;1332;526;4460;2021-08-18
Aruba Luxury Lodge;2845;1121;733;3149;2021-08-18
InfoSight Boutique Hotel;2998;1700;562;3682;2021-08-18
Primera Grand;2378;1454;599;3804;2021-08-18
dHCI Executive Boutique Hotel;2096;1420;537;4592;2021-08-18
ProLiant Haven;3278;1059;542;4854;2021-08-18
Apollo Executive Beach Resort;1596;1112;933;3632;2021-08-18
Aruba Lodge;3330;1027;732;3461;2021-08-18
Alletra Haven;2279;1710;901;4642;2021-08-18
dHCI Platinum Beach Resort;2575;1030;507;4589;2021-08-18
GreenLake Platinum Heritage Inn;1405;1160;685;3334;2021-08-18
Pointnext Signature Residences & Suites;1267;1156;876;3130;2021-08-18
ProLiant Place;2589;1845;780;3657;2021-08-18
Synergy Golden Grand Hotel;1799;1918;755;4962;2021-08-18
Alletra Resort;3081;1498;800;4017;2021-08-18
GreenLake Digital Business Suites;1527;1604;819;4068;2021-08-18
Apollo Resort & Spa;2787;1625;610;3062;2021-08-18
Nimble Inn;3389;1159;761;3509;2021-08-18
Ezmeral Grand Hotel;1270;1707;590;3587;2021-08-18
Alletra Boutique Hotel;1390;1848;811;3724;2021-08-18
Simplivity Golden Plaza Hotel;1620;1852;561;3909;2021-08-18
Cray Villas;2602;1507;608;4895;2021-08-18
Apollo Diamond Suites;3347;1326;786;3819;2021-08-18
Apollo Towers;1545;1005;697;3773;2021-08-18
Alletra Diamond Grand Hotel;3224;1067;571;4310;2021-08-19
ProLiant Towers;2672;1611;715;4037;2021-08-19
Aruba Luxury Lodge;2198;1707;534;4220;2021-08-19
InfoSight Boutique Hotel;2649;1988;804;4618;2021-08-19
Primera Grand;2954;1405;792;4900;2021-08-19
dHCI Executive Boutique Hotel;1677;1691;813;3912;2021-08-19
ProLiant Haven;3510;1126;699;3604;2021-08-19
Apollo Executive Beach Resort;2385;1775;907;4439;2021-08-19
Aruba Lodge;1005;1160;654;3731;2021-08-19
Alletra Haven;3351;1804;904;4918;2021-08-19
dHCI Platinum Beach Resort;1811;1587;700;3123;2021-08-19
GreenLake Platinum Heritage Inn;1412;1096;813;3580;2021-08-19
Pointnext Signature Residences & Suites;3559;1025;825;3757;2021-08-19
ProLiant Place;2690;1946;665;4115;2021-08-19
Synergy Golden Grand Hotel;3758;1553;793;3694;2021-08-19
Alletra Resort;2514;1107;586;4242;2021-08-19
GreenLake Digital Business Suites;2881;1445;729;4909;2021-08-19
Apollo Resort & Spa;2106;1237;513;4047;2021-08-19
Nimble Inn;2012;1822;853;3083;2021-08-19
Ezmeral Grand Hotel;2925;1241;854;3090;2021-08-19
Alletra Boutique Hotel;1957;1536;933;4342;2021-08-19
Simplivity Golden Plaza Hotel;1981;1328;824;3949;2021-08-19
Cray Villas;1198;1656;856;4913;2021-08-19
Apollo Diamond Suites;3609;1266;552;3203;2021-08-19
Apollo Towers;1599;1466;927;4829;2021-08-19
Alletra Diamond Grand Hotel;3822;1481;834;4555;2021-08-20
ProLiant Towers;1089;1657;687;4879;2021-08-20
Aruba Luxury Lodge;1277;1455;606;4668;2021-08-20
InfoSight Boutique Hotel;1752;1428;524;4040;2021-08-20
Primera Grand;3536;1188;652;3606;2021-08-20
dHCI Executive Boutique Hotel;1775;1583;534;4142;2021-08-20
ProLiant Haven;3700;1944;610;3270;2021-08-20
Apollo Executive Beach Resort;3682;1018;831;3944;2021-08-20
Aruba Lodge;3814;1259;794;4906;2021-08-20
Alletra Haven;1659;1853;515;3284;2021-08-20
dHCI Platinum Beach Resort;1378;1746;920;4171;2021-08-20
GreenLake Platinum Heritage Inn;1842;1071;603;3251;2021-08-20
Pointnext Signature Residences & Suites;3911;1871;641;4166;2021-08-20
ProLiant Place;1476;1009;721;4678;2021-08-20
Synergy Golden Grand Hotel;3517;1501;738;3763;2021-08-20
Alletra Resort;2340;1264;598;4318;2021-08-20
GreenLake Digital Business Suites;2562;1618;918;4540;2021-08-20
Apollo Resort & Spa;1596;1809;558;4416;2021-08-20
Nimble Inn;1565;1311;728;3867;2021-08-20
Ezmeral Grand Hotel;3658;1414;678;3665;2021-08-20
Alletra Boutique Hotel;2496;1948;780;3561;2021-08-20
Simplivity Golden Plaza Hotel;2412;1784;859;4007;2021-08-20
Cray Villas;3035;1778;674;4262;2021-08-20
Apollo Diamond Suites;2989;1520;613;4431;2021-08-20
Apollo Towers;1224;1195;663;4587;2021-08-20
Alletra Diamond Grand Hotel;1761;1271;813;3483;2021-08-21
ProLiant Towers;1428;1901;624;3131;2021-08-21
Aruba Luxury Lodge;3319;1853;930;3435;2021-08-21
InfoSight Boutique Hotel;2869;1442;703;4178;2021-08-21
Primera Grand;1212;1646;554;3762;2021-08-21
dHCI Executive Boutique Hotel;1228;1663;594;4613;2021-08-21
ProLiant Haven;1302;1597;656;4341;2021-08-21
Apollo Executive Beach Resort;3781;1297;571;4049;2021-08-21
Aruba Lodge;1565;1561;739;4704;2021-08-21
Alletra Haven;2541;1969;646;4737;2021-08-21
dHCI Platinum Beach Resort;1961;1825;938;3201;2021-08-21
GreenLake Platinum Heritage Inn;1945;1973;712;4844;2021-08-21
Pointnext Signature Residences & Suites;1142;1897;865;3092;2021-08-21
ProLiant Place;1913;1636;927;4736;2021-08-21
Synergy Golden Grand Hotel;2564;1766;676;4719;2021-08-21
Alletra Resort;3247;1119;788;4421;2021-08-21
GreenLake Digital Business Suites;1034;1285;555;3287;2021-08-21
Apollo Resort & Spa;2595;1725;576;4133;2021-08-21
Nimble Inn;1466;1568;901;3568;2021-08-21
Ezmeral Grand Hotel;1193;1377;923;3012;2021-08-21
Alletra Boutique Hotel;2510;1738;732;3660;2021-08-21
Simplivity Golden Plaza Hotel;3526;1023;728;4694;2021-08-21
Cray Villas;2023;1590;641;3548;2021-08-21
Apollo Diamond Suites;1892;1711;720;3847;2021-08-21
Apollo Towers;1654;1314;509;4363;2021-08-21
Alletra Diamond Grand Hotel;1039;1029;844;4674;2021-08-22
ProLiant Towers;2788;1280;695;3011;2021-08-22
Aruba Luxury Lodge;1897;1759;922;4015;2021-08-22
InfoSight Boutique Hotel;2029;1418;716;4621;2021-08-22
Primera Grand;2441;1774;692;4178;2021-08-22
dHCI Executive Boutique Hotel;3869;1934;819;4677;2021-08-22
ProLiant Haven;3390;1526;511;3060;2021-08-22
Apollo Executive Beach Resort;1547;1718;898;4929;2021-08-22
Aruba Lodge;3385;1621;523;4629;2021-08-22
Alletra Haven;1303;1847;892;3768;2021-08-22
dHCI Platinum Beach Resort;2672;1728;940;4509;2021-08-22
GreenLake Platinum Heritage Inn;2401;1121;602;4192;2021-08-22
Pointnext Signature Residences & Suites;2931;1769;841;3822;2021-08-22
ProLiant Place;1341;1149;786;4409;2021-08-22
Synergy Golden Grand Hotel;2547;1901;529;4771;2021-08-22
Alletra Resort;3348;1694;539;3312;2021-08-22
GreenLake Digital Business Suites;2831;1366;555;3399;2021-08-22
Apollo Resort & Spa;3830;1757;742;3078;2021-08-22
Nimble Inn;2366;1388;825;4800;2021-08-22
Ezmeral Grand Hotel;3318;1578;740;3080;2021-08-22
Alletra Boutique Hotel;1456;1539;886;3560;2021-08-22
Simplivity Golden Plaza Hotel;1148;1120;837;3232;2021-08-22
Cray Villas;3149;1304;924;3774;2021-08-22
Apollo Diamond Suites;1456;1106;678;3564;2021-08-22
Apollo Towers;1530;1110;909;4687;2021-08-22
Alletra Diamond Grand Hotel;3997;1192;802;4828;2021-08-23
ProLiant Towers;3088;1203;764;4488;2021-08-23
Aruba Luxury Lodge;1033;1282;924;4115;2021-08-23
InfoSight Boutique Hotel;2308;1817;926;4017;2021-08-23
Primera Grand;3802;1582;679;4630;2021-08-23
dHCI Executive Boutique Hotel;1976;1019;683;4425;2021-08-23
ProLiant Haven;1389;1634;761;3191;2021-08-23
Apollo Executive Beach Resort;3356;1056;818;3504;2021-08-23
Aruba Lodge;1995;1064;507;3096;2021-08-23
Alletra Haven;3395;1196;588;4006;2021-08-23
dHCI Platinum Beach Resort;2014;1293;501;4327;2021-08-23
GreenLake Platinum Heritage Inn;2525;1002;871;4228;2021-08-23
Pointnext Signature Residences & Suites;2733;1920;807;4667;2021-08-23
ProLiant Place;1269;1890;576;4452;2021-08-23
Synergy Golden Grand Hotel;2544;1434;539;4706;2021-08-23
Alletra Resort;2211;1574;688;3169;2021-08-23
GreenLake Digital Business Suites;3368;1321;625;4264;2021-08-23
Apollo Resort & Spa;3009;1322;935;4859;2021-08-23
Nimble Inn;2872;1358;930;4009;2021-08-23
Ezmeral Grand Hotel;2567;1853;509;3112;2021-08-23
Alletra Boutique Hotel;2491;1014;590;4791;2021-08-23
Simplivity Golden Plaza Hotel;2011;1830;719;4357;2021-08-23
Cray Villas;1595;1190;672;4909;2021-08-23
Apollo Diamond Suites;2395;1068;609;4657;2021-08-23
Apollo Towers;2766;1775;755;4566;2021-08-23
Alletra Diamond Grand Hotel;2133;1519;730;4489;2021-08-24
ProLiant Towers;1453;1292;667;4943;2021-08-24
Aruba Luxury Lodge;2702;1993;765;4775;2021-08-24
InfoSight Boutique Hotel;2279;1134;668;4216;2021-08-24
Primera Grand;1453;1490;713;3381;2021-08-24
dHCI Executive Boutique Hotel;3537;1600;739;3040;2021-08-24
ProLiant Haven;3326;1880;807;3898;2021-08-24
Apollo Executive Beach Resort;3918;1805;922;3125;2021-08-24
Aruba Lodge;2522;1695;807;4363;2021-08-24
Alletra Haven;1339;1486;501;4628;2021-08-24
dHCI Platinum Beach Resort;2793;1592;632;3882;2021-08-24
GreenLake Platinum Heritage Inn;2743;1294;845;4573;2021-08-24
Pointnext Signature Residences & Suites;2196;1436;594;3688;2021-08-24
ProLiant Place;1620;1913;536;4373;2021-08-24
Synergy Golden Grand Hotel;3748;1579;630;3134;2021-08-24
Alletra Resort;1537;1827;745;4399;2021-08-24
GreenLake Digital Business Suites;1907;1990;528;3148;2021-08-24
Apollo Resort & Spa;3971;1060;771;3576;2021-08-24
Nimble Inn;1918;1117;674;3026;2021-08-24
Ezmeral Grand Hotel;1244;1812;853;4174;2021-08-24
Alletra Boutique Hotel;1533;1498;860;4414;2021-08-24
Simplivity Golden Plaza Hotel;3364;1132;938;4256;2021-08-24
Cray Villas;1498;1088;775;4287;2021-08-24
Apollo Diamond Suites;1542;1774;575;3289;2021-08-24
Apollo Towers;2094;1767;705;3159;2021-08-24
Alletra Diamond Grand Hotel;2413;1747;832;4372;2021-08-25
ProLiant Towers;3399;1581;743;3214;2021-08-25
Aruba Luxury Lodge;2712;1468;895;3884;2021-08-25
InfoSight Boutique Hotel;1791;1700;788;4529;2021-08-25
Primera Grand;1864;1113;789;3500;2021-08-25
dHCI Executive Boutique Hotel;1559;1791;917;3282;2021-08-25
ProLiant Haven;1908;1612;594;3699;2021-08-25
Apollo Executive Beach Resort;1373;1327;828;3792;2021-08-25
Aruba Lodge;1638;1306;748;3083;2021-08-25
Alletra Haven;1374;1383;632;4791;2021-08-25
dHCI Platinum Beach Resort;3563;1584;586;4337;2021-08-25
GreenLake Platinum Heritage Inn;2208;1038;507;4734;2021-08-25
Pointnext Signature Residences & Suites;3605;1462;607;3653;2021-08-25
ProLiant Place;3917;1981;886;3489;2021-08-25
Synergy Golden Grand Hotel;3600;1899;630;3593;2021-08-25
Alletra Resort;3902;1515;548;4979;2021-08-25
GreenLake Digital Business Suites;1663;1620;672;3718;2021-08-25
Apollo Resort & Spa;2943;1093;672;3250;2021-08-25
Nimble Inn;2505;1971;896;3712;2021-08-25
Ezmeral Grand Hotel;2894;1695;806;4203;2021-08-25
Alletra Boutique Hotel;3300;1725;832;4925;2021-08-25
Simplivity Golden Plaza Hotel;2487;1466;870;4375;2021-08-25
Cray Villas;1107;1406;849;4142;2021-08-25
Apollo Diamond Suites;1955;1346;762;4109;2021-08-25
Apollo Towers;3922;1636;697;3918;2021-08-25
Alletra Diamond Grand Hotel;3226;1274;565;3678;2021-08-26
ProLiant Towers;2681;1042;765;4778;2021-08-26
Aruba Luxury Lodge;1891;1981;836;3491;2021-08-26
InfoSight Boutique Hotel;2409;1969;767;3188;2021-08-26
Primera Grand;2514;1529;559;3412;2021-08-26
dHCI Executive Boutique Hotel;1975;1841;840;3378;2021-08-26
ProLiant Haven;3489;1606;856;3027;2021-08-26
Apollo Executive Beach Resort;3564;1412;732;4440;2021-08-26
Aruba Lodge;2540;1887;596;3443;2021-08-26
Alletra Haven;2964;1888;817;4827;2021-08-26
dHCI Platinum Beach Resort;2189;1482;716;4466;2021-08-26
GreenLake Platinum Heritage Inn;2094;1950;791;4810;2021-08-26
Pointnext Signature Residences & Suites;3913;1801;691;3663;2021-08-26
ProLiant Place;3475;1001;870;3757;2021-08-26
Synergy Golden Grand Hotel;1576;1295;590;4070;2021-08-26
Alletra Resort;1506;1777;525;4236;2021-08-26
GreenLake Digital Business Suites;1594;1916;546;3208;2021-08-26
Apollo Resort & Spa;3245;1025;695;4276;2021-08-26
Nimble Inn;3865;1762;690;4540;2021-08-26
Ezmeral Grand Hotel;2973;1243;803;3429;2021-08-26
Alletra Boutique Hotel;1387;1424;649;4813;2021-08-26
Simplivity Golden Plaza Hotel;2076;2000;714;4556;2021-08-26
Cray Villas;2702;1872;552;4840;2021-08-26
Apollo Diamond Suites;1876;1653;764;4172;2021-08-26
Apollo Towers;1582;1261;564;3701;2021-08-26
Alletra Diamond Grand Hotel;2267;1060;586;3397;2021-08-27
ProLiant Towers;3380;1807;667;4760;2021-08-27
Aruba Luxury Lodge;3100;1539;718;4972;2021-08-27
InfoSight Boutique Hotel;2084;1054;706;3078;2021-08-27
Primera Grand;2180;1317;940;4150;2021-08-27
dHCI Executive Boutique Hotel;2717;1085;653;3188;2021-08-27
ProLiant Haven;2452;1310;928;4990;2021-08-27
Apollo Executive Beach Resort;2558;1927;640;4103;2021-08-27
Aruba Lodge;1612;1521;615;3727;2021-08-27
Alletra Haven;2241;1397;570;3372;2021-08-27
dHCI Platinum Beach Resort;3252;1104;520;4846;2021-08-27
GreenLake Platinum Heritage Inn;1218;1953;589;3621;2021-08-27
Pointnext Signature Residences & Suites;3811;1487;707;4013;2021-08-27
ProLiant Place;3890;1471;883;3876;2021-08-27
Synergy Golden Grand Hotel;2048;1422;556;3250;2021-08-27
Alletra Resort;1124;1799;566;3410;2021-08-27
GreenLake Digital Business Suites;1602;1271;507;4402;2021-08-27
Apollo Resort & Spa;3345;1419;714;4933;2021-08-27
Nimble Inn;2534;1605;556;3171;2021-08-27
Ezmeral Grand Hotel;1112;1457;636;3317;2021-08-27
Alletra Boutique Hotel;1503;1673;654;4898;2021-08-27
Simplivity Golden Plaza Hotel;3834;1512;641;3183;2021-08-27
Cray Villas;1108;1087;576;3420;2021-08-27
Apollo Diamond Suites;3789;1937;591;3170;2021-08-27
Apollo Towers;1715;1317;610;4219;2021-08-27
Alletra Diamond Grand Hotel;3107;1174;843;4127;2021-08-28
ProLiant Towers;2747;1816;830;4822;2021-08-28
Aruba Luxury Lodge;2188;1813;919;3081;2021-08-28
InfoSight Boutique Hotel;3218;1018;823;4877;2021-08-28
Primera Grand;3306;1027;758;3556;2021-08-28
dHCI Executive Boutique Hotel;2183;1513;767;4212;2021-08-28
ProLiant Haven;1435;1579;887;3507;2021-08-28
Apollo Executive Beach Resort;3697;1479;718;3478;2021-08-28
Aruba Lodge;1433;1342;565;3055;2021-08-28
Alletra Haven;1816;1070;871;4518;2021-08-28
dHCI Platinum Beach Resort;1069;1353;790;3253;2021-08-28
GreenLake Platinum Heritage Inn;3614;1555;928;4335;2021-08-28
Pointnext Signature Residences & Suites;2941;1897;740;3488;2021-08-28
ProLiant Place;1650;1741;637;4479;2021-08-28
Synergy Golden Grand Hotel;1959;1810;684;4408;2021-08-28
Alletra Resort;1438;1457;895;4227;2021-08-28
GreenLake Digital Business Suites;2270;1334;875;4698;2021-08-28
Apollo Resort & Spa;3553;1617;782;4232;2021-08-28
Nimble Inn;1955;1268;622;4584;2021-08-28
Ezmeral Grand Hotel;1140;1725;801;3896;2021-08-28
Alletra Boutique Hotel;3919;1409;675;4910;2021-08-28
Simplivity Golden Plaza Hotel;3250;1510;807;3882;2021-08-28
Cray Villas;3236;1793;901;4023;2021-08-28
Apollo Diamond Suites;2142;1740;526;3852;2021-08-28
Apollo Towers;1910;1488;749;4510;2021-08-28
Alletra Diamond Grand Hotel;2442;1389;805;3214;2021-08-29
ProLiant Towers;3234;1021;668;4270;2021-08-29
Aruba Luxury Lodge;3453;1224;620;3979;2021-08-29
InfoSight Boutique Hotel;3824;1543;756;3111;2021-08-29
Primera Grand;3386;1898;523;3891;2021-08-29
dHCI Executive Boutique Hotel;3034;1341;702;3669;2021-08-29
ProLiant Haven;1329;1575;545;4065;2021-08-29
Apollo Executive Beach Resort;3270;1256;937;3782;2021-08-29
Aruba Lodge;1383;1251;735;4857;2021-08-29
Alletra Haven;1926;1349;867;5000;2021-08-29
dHCI Platinum Beach Resort;1025;1685;769;3424;2021-08-29
GreenLake Platinum Heritage Inn;2367;1699;668;3489;2021-08-29
Pointnext Signature Residences & Suites;2747;1546;700;4577;2021-08-29
ProLiant Place;3915;1746;743;3679;2021-08-29
Synergy Golden Grand Hotel;1690;1543;695;3663;2021-08-29
Alletra Resort;2779;1041;618;3598;2021-08-29
GreenLake Digital Business Suites;1076;1222;634;3089;2021-08-29
Apollo Resort & Spa;3364;1647;654;3261;2021-08-29
Nimble Inn;2443;1496;556;3112;2021-08-29
Ezmeral Grand Hotel;1407;1976;553;4476;2021-08-29
Alletra Boutique Hotel;2152;1397;644;3490;2021-08-29
Simplivity Golden Plaza Hotel;2937;1290;617;3783;2021-08-29
Cray Villas;3451;1238;800;4392;2021-08-29
Apollo Diamond Suites;3094;1298;686;4542;2021-08-29
Apollo Towers;1590;1712;597;3628;2021-08-29
Alletra Diamond Grand Hotel;2699;1637;682;4964;2021-08-30
ProLiant Towers;3527;1508;518;3615;2021-08-30
Aruba Luxury Lodge;3390;1040;512;3314;2021-08-30
InfoSight Boutique Hotel;2217;1590;609;4834;2021-08-30
Primera Grand;2783;1274;529;3917;2021-08-30
dHCI Executive Boutique Hotel;2859;1238;879;3403;2021-08-30
ProLiant Haven;2837;1805;620;3348;2021-08-30
Apollo Executive Beach Resort;3663;1888;728;4619;2021-08-30
Aruba Lodge;3731;1883;731;4701;2021-08-30
Alletra Haven;3567;1247;908;4674;2021-08-30
dHCI Platinum Beach Resort;2240;1303;872;4076;2021-08-30
GreenLake Platinum Heritage Inn;3796;1126;689;4667;2021-08-30
Pointnext Signature Residences & Suites;2931;1114;539;4571;2021-08-30
ProLiant Place;1587;1007;827;4219;2021-08-30
Synergy Golden Grand Hotel;3445;1347;522;3845;2021-08-30
Alletra Resort;3640;1917;525;4108;2021-08-30
GreenLake Digital Business Suites;1568;1949;607;4594;2021-08-30
Apollo Resort & Spa;1441;1152;925;3914;2021-08-30
Nimble Inn;2001;1916;667;3119;2021-08-30
Ezmeral Grand Hotel;1438;1068;544;4769;2021-08-30
Alletra Boutique Hotel;3221;1118;942;4506;2021-08-30
Simplivity Golden Plaza Hotel;1710;1900;764;4750;2021-08-30
Cray Villas;1246;1084;840;4890;2021-08-30
Apollo Diamond Suites;2976;1305;663;4575;2021-08-30
Apollo Towers;2057;1062;890;3173;2021-08-30
Alletra Diamond Grand Hotel;2129;1545;666;4066;2021-08-31
ProLiant Towers;1970;1041;655;4717;2021-08-31
Aruba Luxury Lodge;2001;1721;567;3398;2021-08-31
InfoSight Boutique Hotel;3114;1884;666;3175;2021-08-31
Primera Grand;3121;1845;723;3746;2021-08-31
dHCI Executive Boutique Hotel;2688;1074;944;4918;2021-08-31
ProLiant Haven;1751;1642;549;3584;2021-08-31
Apollo Executive Beach Resort;1096;1926;822;4761;2021-08-31
Aruba Lodge;3981;1174;715;3010;2021-08-31
Alletra Haven;3072;1159;757;4852;2021-08-31
dHCI Platinum Beach Resort;2629;1393;843;4371;2021-08-31
GreenLake Platinum Heritage Inn;2836;1515;721;4383;2021-08-31
Pointnext Signature Residences & Suites;1597;1882;630;4299;2021-08-31
ProLiant Place;3221;1652;662;3662;2021-08-31
Synergy Golden Grand Hotel;2812;1884;602;3391;2021-08-31
Alletra Resort;1222;1351;577;4457;2021-08-31
GreenLake Digital Business Suites;1045;1957;909;4788;2021-08-31
Apollo Resort & Spa;3273;1714;887;4190;2021-08-31
Nimble Inn;2989;1095;849;3780;2021-08-31
Ezmeral Grand Hotel;2707;1467;628;4608;2021-08-31
Alletra Boutique Hotel;3024;1126;739;4402;2021-08-31
Simplivity Golden Plaza Hotel;2738;1221;583;3703;2021-08-31
Cray Villas;1203;1097;787;3770;2021-08-31
Apollo Diamond Suites;1467;1829;584;3810;2021-08-31
Apollo Towers;1407;1135;531;4828;2021-08-31
Alletra Diamond Grand Hotel;1970;1296;518;4958;2021-09-01
ProLiant Towers;2959;1834;682;4531;2021-09-01
Aruba Luxury Lodge;1981;1439;504;4169;2021-09-01
InfoSight Boutique Hotel;3807;1034;884;3115;2021-09-01
Primera Grand;3284;1424;531;4916;2021-09-01
dHCI Executive Boutique Hotel;3778;1844;754;4506;2021-09-01
ProLiant Haven;3985;1090;798;4613;2021-09-01
Apollo Executive Beach Resort;2581;1555;567;3012;2021-09-01
Aruba Lodge;3976;1788;742;4274;2021-09-01
Alletra Haven;3109;1890;721;3461;2021-09-01
dHCI Platinum Beach Resort;2181;1417;536;3855;2021-09-01
GreenLake Platinum Heritage Inn;3291;1891;566;4309;2021-09-01
Pointnext Signature Residences & Suites;1174;1668;686;3328;2021-09-01
ProLiant Place;3499;1446;841;3671;2021-09-01
Synergy Golden Grand Hotel;1625;1561;869;4852;2021-09-01
Alletra Resort;3349;1037;910;3664;2021-09-01
GreenLake Digital Business Suites;2998;1846;904;3468;2021-09-01
Apollo Resort & Spa;1191;1132;737;4518;2021-09-01
Nimble Inn;3013;1431;868;4376;2021-09-01
Ezmeral Grand Hotel;1888;1000;909;3086;2021-09-01
Alletra Boutique Hotel;1246;1317;803;4154;2021-09-01
Simplivity Golden Plaza Hotel;2544;1102;739;4524;2021-09-01
Cray Villas;1420;1154;704;3469;2021-09-01
Apollo Diamond Suites;3266;1657;584;4551;2021-09-01
Apollo Towers;2137;1870;523;4065;2021-09-01
Alletra Diamond Grand Hotel;3444;1795;791;4065;2021-09-02
ProLiant Towers;2864;1309;950;3299;2021-09-02
Aruba Luxury Lodge;2836;1111;738;3498;2021-09-02
InfoSight Boutique Hotel;1024;1408;626;3378;2021-09-02
Primera Grand;2496;1067;658;4215;2021-09-02
dHCI Executive Boutique Hotel;2831;1505;749;4073;2021-09-02
ProLiant Haven;3691;1747;806;4856;2021-09-02
Apollo Executive Beach Resort;3832;1709;766;3972;2021-09-02
Aruba Lodge;2164;1325;854;3939;2021-09-02
Alletra Haven;1238;1072;521;3353;2021-09-02
dHCI Platinum Beach Resort;3061;1874;856;3281;2021-09-02
GreenLake Platinum Heritage Inn;3264;1540;850;3731;2021-09-02
Pointnext Signature Residences & Suites;3609;1141;605;3083;2021-09-02
ProLiant Place;1891;1040;539;3603;2021-09-02
Synergy Golden Grand Hotel;2026;1110;666;3528;2021-09-02
Alletra Resort;1555;1267;628;3943;2021-09-02
GreenLake Digital Business Suites;2271;1407;885;4014;2021-09-02
Apollo Resort & Spa;3003;1313;589;4049;2021-09-02
Nimble Inn;1846;1759;931;4405;2021-09-02
Ezmeral Grand Hotel;2608;1415;852;3197;2021-09-02
Alletra Boutique Hotel;2637;1336;824;3518;2021-09-02
Simplivity Golden Plaza Hotel;1721;1569;740;3081;2021-09-02
Cray Villas;2821;1480;915;3506;2021-09-02
Apollo Diamond Suites;2489;1887;697;3214;2021-09-02
Apollo Towers;1636;1417;590;3288;2021-09-02
Alletra Diamond Grand Hotel;2719;1210;796;4829;2021-09-03
ProLiant Towers;1325;1065;882;4134;2021-09-03
Aruba Luxury Lodge;1027;1914;724;4505;2021-09-03
InfoSight Boutique Hotel;3436;1191;639;3772;2021-09-03
Primera Grand;3855;1625;802;3179;2021-09-03
dHCI Executive Boutique Hotel;2249;1837;836;4489;2021-09-03
ProLiant Haven;3781;1595;920;3999;2021-09-03
Apollo Executive Beach Resort;1753;1918;726;4959;2021-09-03
Aruba Lodge;1087;1039;858;3420;2021-09-03
Alletra Haven;1514;1481;859;4754;2021-09-03
dHCI Platinum Beach Resort;3450;1726;775;3652;2021-09-03
GreenLake Platinum Heritage Inn;1758;1294;926;3125;2021-09-03
Pointnext Signature Residences & Suites;1932;1388;765;3036;2021-09-03
ProLiant Place;2921;1145;824;3917;2021-09-03
Synergy Golden Grand Hotel;2435;1363;803;4373;2021-09-03
Alletra Resort;2569;1756;564;3391;2021-09-03
GreenLake Digital Business Suites;1299;1519;892;4472;2021-09-03
Apollo Resort & Spa;3488;1370;859;3116;2021-09-03
Nimble Inn;1506;1192;605;4280;2021-09-03
Ezmeral Grand Hotel;2905;1204;867;3313;2021-09-03
Alletra Boutique Hotel;3573;1460;732;3238;2021-09-03
Simplivity Golden Plaza Hotel;1086;1052;868;3174;2021-09-03
Cray Villas;1624;1642;689;3593;2021-09-03
Apollo Diamond Suites;3733;1957;538;3697;2021-09-03
Apollo Towers;2251;1232;930;4707;2021-09-03
Alletra Diamond Grand Hotel;2927;1035;536;4505;2021-09-04
ProLiant Towers;1463;1954;737;3892;2021-09-04
Aruba Luxury Lodge;1928;1993;634;3505;2021-09-04
InfoSight Boutique Hotel;3555;1526;732;4929;2021-09-04
Primera Grand;2411;1782;908;3483;2021-09-04
dHCI Executive Boutique Hotel;2557;1062;765;3157;2021-09-04
ProLiant Haven;1671;1738;808;3608;2021-09-04
Apollo Executive Beach Resort;3176;1389;580;4218;2021-09-04
Aruba Lodge;3263;1077;516;5000;2021-09-04
Alletra Haven;1831;1214;592;4810;2021-09-04
dHCI Platinum Beach Resort;1693;1637;569;3305;2021-09-04
GreenLake Platinum Heritage Inn;2976;1377;688;3006;2021-09-04
Pointnext Signature Residences & Suites;2855;1508;882;3339;2021-09-04
ProLiant Place;2724;1513;535;4985;2021-09-04
Synergy Golden Grand Hotel;3140;1882;875;4094;2021-09-04
Alletra Resort;2361;1075;759;3153;2021-09-04
GreenLake Digital Business Suites;2983;1733;566;3667;2021-09-04
Apollo Resort & Spa;2587;1820;781;3564;2021-09-04
Nimble Inn;2253;1448;517;4486;2021-09-04
Ezmeral Grand Hotel;1438;1243;525;4800;2021-09-04
Alletra Boutique Hotel;2225;1458;845;4630;2021-09-04
Simplivity Golden Plaza Hotel;1135;1599;609;4665;2021-09-04
Cray Villas;1923;1807;933;4039;2021-09-04
Apollo Diamond Suites;1871;1607;675;3477;2021-09-04
Apollo Towers;3959;1439;622;3675;2021-09-04
Alletra Diamond Grand Hotel;2727;1469;640;4257;2021-09-05
ProLiant Towers;3693;1110;577;3934;2021-09-05
Aruba Luxury Lodge;3867;1541;808;4397;2021-09-05
InfoSight Boutique Hotel;3136;1515;665;4817;2021-09-05
Primera Grand;3269;1333;723;4082;2021-09-05
dHCI Executive Boutique Hotel;2247;1753;683;3524;2021-09-05
ProLiant Haven;2904;1684;848;4218;2021-09-05
Apollo Executive Beach Resort;2128;1408;717;4485;2021-09-05
Aruba Lodge;1425;1344;636;3664;2021-09-05
Alletra Haven;3601;1097;567;3906;2021-09-05
dHCI Platinum Beach Resort;2801;1498;612;3155;2021-09-05
GreenLake Platinum Heritage Inn;2776;1833;907;4331;2021-09-05
Pointnext Signature Residences & Suites;1024;1575;941;3994;2021-09-05
ProLiant Place;3434;1143;768;4834;2021-09-05
Synergy Golden Grand Hotel;1437;1996;849;3009;2021-09-05
