hotel_nombre;fecha;tasa_ocupacion;reservas_confirmadas;cancelaciones;precio_promedio_noche
GreenLake Digital Business Suites;07/06/2021;79;375;27;2470
Apollo Resort & Spa;07/06/2021;80;299;31;24281
Nimble Inn;07/06/2021;75;360;54;15297
Ezmeral Grand Hotel;07/06/2021;94;268;18;15373
Alletra Boutique Hotel;07/06/2021;90;429;22;16758
Simplivity Golden Plaza Hotel;07/06/2021;90;273;53;28948
Cray Villas;07/06/2021;77;194;27;14087
Apollo Diamond Suites;07/06/2021;93;438;53;24618
Apollo Towers;07/06/2021;85;296;21;17758
Alletra Diamond Grand Hotel;08/06/2021;78;333;61;15735
ProLiant Towers;08/06/2021;84;298;53;2925
Aruba Luxury Lodge;08/06/2021;95;270;45;18663
InfoSight Boutique Hotel;08/06/2021;80;161;22;22412
Primera Grand;08/06/2021;85;265;41;16058
dHCI Executive Boutique Hotel;08/06/2021;81;280;21;25805
ProLiant Haven;08/06/2021;74;319;42;1986
Apollo Executive Beach Resort;08/06/2021;83;231;12;27172
Aruba Lodge;08/06/2021;94;385;52;19218
Alletra Haven;08/06/2021;89;184;32;21178
dHCI Platinum Beach Resort;08/06/2021;78;311;49;26038
GreenLake Platinum Heritage Inn;08/06/2021;84;170;28;24289
Pointnext Signature Residences & Suites;08/06/2021;72;216;40;13149
ProLiant Place;08/06/2021;71;303;50;13668
Synergy Golden Grand Hotel;08/06/2021;84;290;28;2918
Alletra Resort;08/06/2021;86;388;24;16226
GreenLake Digital Business Suites;08/06/2021;81;363;53;21209
Apollo Resort & Spa;08/06/2021;84;263;19;23691
Nimble Inn;08/06/2021;88;198;35;29628
Ezmeral Grand Hotel;08/06/2021;77;331;28;24586
Alletra Boutique Hotel;08/06/2021;75;234;27;19015
Simplivity Golden Plaza Hotel;08/06/2021;71;328;19;21031
Cray Villas;08/06/2021;76;329;59;14485
Apollo Diamond Suites;08/06/2021;94;406;44;24878
Apollo Towers;08/06/2021;89;297;17;1826
Alletra Diamond Grand Hotel;09/06/2021;91;378;26;15896
ProLiant Towers;09/06/2021;79;293;29;19244
Aruba Luxury Lodge;09/06/2021;94;349;60;30159
InfoSight Boutique Hotel;09/06/2021;71;210;35;15155
Primera Grand;09/06/2021;71;244;15;16229
dHCI Executive Boutique Hotel;09/06/2021;83;176;9;2349
ProLiant Haven;09/06/2021;86;294;26;14684
Apollo Executive Beach Resort;09/06/2021;72;279;45;25839
Aruba Lodge;09/06/2021;85;353;18;28496
Alletra Haven;09/06/2021;95;250;46;29842
dHCI Platinum Beach Resort;09/06/2021;81;369;61;19344
GreenLake Platinum Heritage Inn;09/06/2021;87;195;18;28861
Pointnext Signature Residences & Suites;09/06/2021;94;352;54;16542
ProLiant Place;09/06/2021;84;399;74;17819
Synergy Golden Grand Hotel;09/06/2021;95;460;90;17309
Alletra Resort;09/06/2021;76;176;13;15942
GreenLake Digital Business Suites;09/06/2021;87;211;15;26178
Apollo Resort & Spa;09/06/2021;75;279;27;27042
Nimble Inn;09/06/2021;81;220;20;13777
Ezmeral Grand Hotel;09/06/2021;75;220;30;17199
Alletra Boutique Hotel;09/06/2021;93;296;45;21943
Simplivity Golden Plaza Hotel;09/06/2021;81;329;52;16598
Cray Villas;09/06/2021;73;194;30;1233
Apollo Diamond Suites;09/06/2021;83;395;45;18188
Apollo Towers;09/06/2021;94;376;67;32088
Alletra Diamond Grand Hotel;10/06/2021;72;275;24;2590
ProLiant Towers;10/06/2021;86;264;20;18956
Aruba Luxury Lodge;10/06/2021;76;205;10;12687
InfoSight Boutique Hotel;10/06/2021;75;202;38;12949
Primera Grand;10/06/2021;78;367;48;27512
dHCI Executive Boutique Hotel;10/06/2021;85;219;35;21374
ProLiant Haven;10/06/2021;76;319;29;22813
Apollo Executive Beach Resort;10/06/2021;74;308;37;22058
Aruba Lodge;10/06/2021;79;304;40;16731
Alletra Haven;10/06/2021;80;333;21;22611
dHCI Platinum Beach Resort;10/06/2021;84;279;24;27384
GreenLake Platinum Heritage Inn;10/06/2021;82;167;12;22986
Pointnext Signature Residences & Suites;10/06/2021;94;317;23;2039
ProLiant Place;10/06/2021;79;220;14;25543
Synergy Golden Grand Hotel;10/06/2021;76;291;54;26322
Alletra Resort;10/06/2021;86;373;21;18865
GreenLake Digital Business Suites;10/06/2021;89;331;16;15258
Apollo Resort & Spa;10/06/2021;81;183;33;1786
Nimble Inn;10/06/2021;88;288;37;17224
Ezmeral Grand Hotel;10/06/2021;82;297;57;24726
Alletra Boutique Hotel;10/06/2021;79;233;14;22473
Simplivity Golden Plaza Hotel;10/06/2021;72;304;25;21116
Cray Villas;10/06/2021;76;314;49;25886
Apollo Diamond Suites;10/06/2021;81;240;13;16474
Apollo Towers;10/06/2021;94;373;24;14415
Alletra Diamond Grand Hotel;11/06/2021;76;272;35;15379
ProLiant Towers;11/06/2021;81;253;29;28251
Aruba Luxury Lodge;11/06/2021;77;326;35;27805
InfoSight Boutique Hotel;11/06/2021;86;318;40;23199
Primera Grand;11/06/2021;70;335;46;17746
dHCI Executive Boutique Hotel;11/06/2021;75;188;12;14447
ProLiant Haven;11/06/2021;73;167;24;25335
Apollo Executive Beach Resort;11/06/2021;80;218;19;13165
Aruba Lodge;11/06/2021;78;219;20;25966
Alletra Haven;11/06/2021;74;316;55;24982
dHCI Platinum Beach Resort;11/06/2021;93;220;16;2521
GreenLake Platinum Heritage Inn;11/06/2021;95;303;57;23092
Pointnext Signature Residences & Suites;11/06/2021;88;381;39;15525
ProLiant Place;11/06/2021;76;291;45;16247
Synergy Golden Grand Hotel;11/06/2021;72;269;45;25403
Alletra Resort;11/06/2021;76;200;20;20005
GreenLake Digital Business Suites;11/06/2021;94;290;35;25699
Apollo Resort & Spa;11/06/2021;85;369;45;28358
Nimble Inn;11/06/2021;73;182;31;23684
Ezmeral Grand Hotel;11/06/2021;81;189;31;24319
Alletra Boutique Hotel;11/06/2021;75;219;37;26381
Simplivity Golden Plaza Hotel;11/06/2021;70;152;20;20456
Cray Villas;11/06/2021;70;314;19;25627
Apollo Diamond Suites;11/06/2021;95;370;41;31039
Apollo Towers;11/06/2021;71;229;39;13337
Alletra Diamond Grand Hotel;12/06/2021;80;179;27;17367
ProLiant Towers;12/06/2021;88;384;48;23149
Aruba Luxury Lodge;12/06/2021;100;273;31;19428
InfoSight Boutique Hotel;12/06/2021;77;172;9;13489
Primera Grand;12/06/2021;82;348;45;22782
dHCI Executive Boutique Hotel;12/06/2021;89;189;12;2883
ProLiant Haven;12/06/2021;90;275;37;30447
Apollo Executive Beach Resort;12/06/2021;84;208;14;20667
Aruba Lodge;12/06/2021;85;323;42;1556
Alletra Haven;12/06/2021;95;422;64;22432
dHCI Platinum Beach Resort;12/06/2021;100;379;60;2062
GreenLake Platinum Heritage Inn;12/06/2021;97;418;38;1700
Pointnext Signature Residences & Suites;12/06/2021;98;299;22;15715
ProLiant Place;12/06/2021;100;413;28;25171
Synergy Golden Grand Hotel;12/06/2021;100;292;50;21598
Alletra Resort;12/06/2021;96;399;65;22061
GreenLake Digital Business Suites;12/06/2021;100;277;46;15587
Apollo Resort & Spa;12/06/2021;97;373;24;23612
Nimble Inn;12/06/2021;89;409;27;23125
Ezmeral Grand Hotel;12/06/2021;79;163;14;17137
Alletra Boutique Hotel;12/06/2021;85;259;41;20726
Simplivity Golden Plaza Hotel;12/06/2021;100;239;47;21122
Cray Villas;12/06/2021;84;186;28;13991
Apollo Diamond Suites;12/06/2021;97;357;68;31753
Apollo Towers;12/06/2021;100;260;36;19522
Alletra Diamond Grand Hotel;13/06/2021;96;318;42;31245
ProLiant Towers;13/06/2021;95;437;22;20155
Aruba Luxury Lodge;13/06/2021;94;262;23;20729
InfoSight Boutique Hotel;13/06/2021;80;379;47;19675
Primera Grand;13/06/2021;93;241;18;26995
dHCI Executive Boutique Hotel;13/06/2021;100;368;58;33603
ProLiant Haven;13/06/2021;98;437;65;1558
Apollo Executive Beach Resort;13/06/2021;96;328;65;29706
Aruba Lodge;13/06/2021;93;459;81;17209
Alletra Haven;13/06/2021;95;313;24;16582
dHCI Platinum Beach Resort;13/06/2021;80;322;18;21741
GreenLake Platinum Heritage Inn;13/06/2021;99;402;63;33463
Pointnext Signature Residences & Suites;13/06/2021;90;310;31;1679
ProLiant Place;13/06/2021;88;209;36;1898
Synergy Golden Grand Hotel;13/06/2021;97;236;28;28362
Alletra Resort;13/06/2021;100;454;26;17664
GreenLake Digital Business Suites;13/06/2021;96;331;46;30758
Apollo Resort & Spa;13/06/2021;92;307;45;15586
Nimble Inn;13/06/2021;84;174;10;27526
Ezmeral Grand Hotel;13/06/2021;84;359;40;1670
Alletra Boutique Hotel;13/06/2021;83;201;25;19105
Simplivity Golden Plaza Hotel;13/06/2021;100;414;64;2054
Cray Villas;13/06/2021;99;304;31;34685
Apollo Diamond Suites;13/06/2021;97;345;20;15569
Apollo Towers;13/06/2021;100;262;37;28118
Alletra Diamond Grand Hotel;14/06/2021;86;320;26;19996
ProLiant Towers;14/06/2021;77;175;15;27603
Aruba Luxury Lodge;14/06/2021;86;357;27;22321
InfoSight Boutique Hotel;14/06/2021;81;166;29;1841
Primera Grand;14/06/2021;94;190;17;19462
dHCI Executive Boutique Hotel;14/06/2021;87;273;15;1453
ProLiant Haven;14/06/2021;82;326;23;14159
Apollo Executive Beach Resort;14/06/2021;71;208;34;1358
Aruba Lodge;14/06/2021;88;348;50;29849
Alletra Haven;14/06/2021;76;359;38;23901
dHCI Platinum Beach Resort;14/06/2021;85;219;14;19754
GreenLake Platinum Heritage Inn;14/06/2021;92;387;23;19066
Pointnext Signature Residences & Suites;14/06/2021;74;157;10;16309
ProLiant Place;14/06/2021;71;174;23;21524
Synergy Golden Grand Hotel;14/06/2021;87;322;57;25038
Alletra Resort;14/06/2021;91;216;40;29152
GreenLake Digital Business Suites;14/06/2021;73;289;28;1451
Apollo Resort & Spa;14/06/2021;73;186;27;23441
Nimble Inn;14/06/2021;72;316;33;2561
Ezmeral Grand Hotel;14/06/2021;75;253;50;17852
Alletra Boutique Hotel;14/06/2021;91;280;37;17401
Simplivity Golden Plaza Hotel;14/06/2021;81;222;16;28914
Cray Villas;14/06/2021;78;194;34;16973
Apollo Diamond Suites;14/06/2021;95;316;42;23466
Apollo Towers;14/06/2021;75;217;29;21415
Alletra Diamond Grand Hotel;15/06/2021;87;336;49;22774
ProLiant Towers;15/06/2021;84;250;31;24702
Aruba Luxury Lodge;15/06/2021;95;241;16;15258
InfoSight Boutique Hotel;15/06/2021;83;198;19;19235
Primera Grand;15/06/2021;74;367;63;15751
dHCI Executive Boutique Hotel;15/06/2021;83;383;26;22414
ProLiant Haven;15/06/2021;93;340;62;19865
Apollo Executive Beach Resort;15/06/2021;91;446;28;1447
Aruba Lodge;15/06/2021;83;208;16;26578
Alletra Haven;15/06/2021;80;306;42;13202
dHCI Platinum Beach Resort;15/06/2021;93;301;34;29879
GreenLake Platinum Heritage Inn;15/06/2021;74;220;12;17834
Pointnext Signature Residences & Suites;15/06/2021;82;325;44;29031
ProLiant Place;15/06/2021;81;304;59;22086
Synergy Golden Grand Hotel;15/06/2021;73;272;31;1396
Alletra Resort;15/06/2021;89;314;50;27051
GreenLake Digital Business Suites;15/06/2021;90;212;22;30414
Apollo Resort & Spa;15/06/2021;92;448;59;23649
Nimble Inn;15/06/2021;94;309;45;20962
Ezmeral Grand Hotel;15/06/2021;91;247;23;32112
Alletra Boutique Hotel;15/06/2021;82;403;54;1601
Simplivity Golden Plaza Hotel;15/06/2021;93;306;58;16581
Cray Villas;15/06/2021;92;239;37;21305
Apollo Diamond Suites;15/06/2021;73;329;53;21439
Apollo Towers;15/06/2021;86;365;38;2559
Alletra Diamond Grand Hotel;16/06/2021;78;321;40;20125
ProLiant Towers;16/06/2021;87;290;21;22803
Aruba Luxury Lodge;16/06/2021;79;168;11;28616
InfoSight Boutique Hotel;16/06/2021;84;351;38;27942
Primera Grand;16/06/2021;91;277;25;20616
dHCI Executive Boutique Hotel;16/06/2021;71;340;25;12928
ProLiant Haven;16/06/2021;92;368;21;22339
Apollo Executive Beach Resort;16/06/2021;74;346;59;23442
Aruba Lodge;16/06/2021;80;372;53;23243
Alletra Haven;16/06/2021;93;356;36;29491
dHCI Platinum Beach Resort;16/06/2021;77;272;27;16121
GreenLake Platinum Heritage Inn;16/06/2021;83;248;47;28349
Pointnext Signature Residences & Suites;16/06/2021;74;212;11;25039
ProLiant Place;16/06/2021;76;157;31;23275
Synergy Golden Grand Hotel;16/06/2021;71;260;44;1690
Alletra Resort;16/06/2021;78;330;25;27705
GreenLake Digital Business Suites;16/06/2021;90;263;33;23474
Apollo Resort & Spa;16/06/2021;94;320;46;22159
Nimble Inn;16/06/2021;77;269;26;19133
Ezmeral Grand Hotel;16/06/2021;86;329;59;2204
Alletra Boutique Hotel;16/06/2021;92;235;35;2151
Simplivity Golden Plaza Hotel;16/06/2021;79;379;44;19434
Cray Villas;16/06/2021;71;159;9;12566
Apollo Diamond Suites;16/06/2021;78;360;51;23834
Apollo Towers;16/06/2021;88;190;11;27283
Alletra Diamond Grand Hotel;17/06/2021;90;352;36;22953
ProLiant Towers;17/06/2021;73;202;10;13097
Aruba Luxury Lodge;17/06/2021;74;217;11;21599
InfoSight Boutique Hotel;17/06/2021;81;366;53;23511
Primera Grand;17/06/2021;71;193;30;16449
dHCI Executive Boutique Hotel;17/06/2021;89;332;19;24046
ProLiant Haven;17/06/2021;93;409;74;1436
Apollo Executive Beach Resort;17/06/2021;84;284;54;19422
Aruba Lodge;17/06/2021;76;368;33;21886
Alletra Haven;17/06/2021;92;218;40;18313
dHCI Platinum Beach Resort;17/06/2021;71;209;26;2418
GreenLake Platinum Heritage Inn;17/06/2021;92;209;20;16235
Pointnext Signature Residences & Suites;17/06/2021;75;345;38;22435
ProLiant Place;17/06/2021;70;145;20;1483
Synergy Golden Grand Hotel;17/06/2021;91;449;46;25447
Alletra Resort;17/06/2021;95;346;57;32298
GreenLake Digital Business Suites;17/06/2021;71;225;24;23035
Apollo Resort & Spa;17/06/2021;76;158;18;2045
Nimble Inn;17/06/2021;80;169;20;27365
Ezmeral Grand Hotel;17/06/2021;84;329;25;19941
Alletra Boutique Hotel;17/06/2021;94;425;56;23986
Simplivity Golden Plaza Hotel;17/06/2021;84;283;50;18991
Cray Villas;17/06/2021;86;247;33;28665
Apollo Diamond Suites;17/06/2021;88;207;23;15645
Apollo Towers;17/06/2021;77;304;47;2029
Alletra Diamond Grand Hotel;18/06/2021;75;191;11;21532
ProLiant Towers;18/06/2021;79;204;21;27353
Aruba Luxury Lodge;18/06/2021;91;337;19;31589
InfoSight Boutique Hotel;18/06/2021;73;285;16;21624
Primera Grand;18/06/2021;94;232;38;19749
dHCI Executive Boutique Hotel;18/06/2021;75;231;32;22901
ProLiant Haven;18/06/2021;72;262;22;12457
Apollo Executive Beach Resort;18/06/2021;86;414;31;23603
Aruba Lodge;18/06/2021;73;332;44;22858
Alletra Haven;18/06/2021;89;379;28;30186
dHCI Platinum Beach Resort;18/06/2021;71;316;54;19376
GreenLake Platinum Heritage Inn;18/06/2021;74;240;35;21376
Pointnext Signature Residences & Suites;18/06/2021;72;290;21;24379
ProLiant Place;18/06/2021;78;339;63;25183
Synergy Golden Grand Hotel;18/06/2021;71;277;42;14618
Alletra Resort;18/06/2021;81;304;19;16738
GreenLake Digital Business Suites;18/06/2021;92;446;44;27964
Apollo Resort & Spa;18/06/2021;79;201;13;18808
Nimble Inn;18/06/2021;87;355;69;28792
Ezmeral Grand Hotel;18/06/2021;72;276;23;12827
Alletra Boutique Hotel;18/06/2021;77;166;25;14996
Simplivity Golden Plaza Hotel;18/06/2021;84;173;15;25671
Cray Villas;18/06/2021;87;340;32;14686
Apollo Diamond Suites;18/06/2021;79;207;32;20748
Apollo Towers;18/06/2021;81;249;22;2508
Alletra Diamond Grand Hotel;19/06/2021;81;347;57;28526
ProLiant Towers;19/06/2021;96;372;49;30605
Aruba Luxury Lodge;19/06/2021;88;213;19;20226
InfoSight Boutique Hotel;19/06/2021;92;393;31;29143
Primera Grand;19/06/2021;86;199;12;21085
dHCI Executive Boutique Hotel;19/06/2021;100;289;37;22425
ProLiant Haven;19/06/2021;95;252;15;20186
Apollo Executive Beach Resort;19/06/2021;99;354;20;18069
Aruba Lodge;19/06/2021;89;240;35;17601
Alletra Haven;19/06/2021;100;497;69;1987
dHCI Platinum Beach Resort;19/06/2021;75;179;20;12631
GreenLake Platinum Heritage Inn;19/06/2021;91;238;33;19897
Pointnext Signature Residences & Suites;19/06/2021;91;188;24;3013
ProLiant Place;19/06/2021;85;237;14;15039
Synergy Golden Grand Hotel;19/06/2021;83;205;17;13692
Alletra Resort;19/06/2021;100;442;61;23059
GreenLake Digital Business Suites;19/06/2021;90;347;21;28996
Apollo Resort & Spa;19/06/2021;97;344;35;27118
Nimble Inn;19/06/2021;86;243;15;21676
Ezmeral Grand Hotel;19/06/2021;100;218;24;1832
Alletra Boutique Hotel;19/06/2021;86;227;23;15682
Simplivity Golden Plaza Hotel;19/06/2021;90;342;21;30737
Cray Villas;19/06/2021;100;428;71;20248
Apollo Diamond Suites;19/06/2021;89;262;18;25172
Apollo Towers;19/06/2021;99;237;24;1887
Alletra Diamond Grand Hotel;20/06/2021;81;236;25;16652
ProLiant Towers;20/06/2021;96;233;24;25977
Aruba Luxury Lodge;20/06/2021;77;199;14;23828
InfoSight Boutique Hotel;20/06/2021;97;300;28;26743
Primera Grand;20/06/2021;100;300;38;28959
dHCI Executive Boutique Hotel;20/06/2021;85;199;39;22421
ProLiant Haven;20/06/2021;100;482;31;16366
Apollo Executive Beach Resort;20/06/2021;85;296;53;27892
Aruba Lodge;20/06/2021;100;275;35;28448
Alletra Haven;20/06/2021;100;281;39;28572
dHCI Platinum Beach Resort;20/06/2021;100;442;87;24486
GreenLake Platinum Heritage Inn;20/06/2021;98;409;25;24124
Pointnext Signature Residences & Suites;20/06/2021;76;221;13;14051
ProLiant Place;20/06/2021;85;415;62;2361
Synergy Golden Grand Hotel;20/06/2021;100;202;20;24458
Alletra Resort;20/06/2021;100;486;61;2322
GreenLake Digital Business Suites;20/06/2021;100;217;31;17367
Apollo Resort & Spa;20/06/2021;84;236;34;27104
Nimble Inn;20/06/2021;91;241;35;16331
Ezmeral Grand Hotel;20/06/2021;90;238;15;24777
Alletra Boutique Hotel;20/06/2021;89;229;14;31202
Simplivity Golden Plaza Hotel;20/06/2021;96;267;34;26191
Cray Villas;20/06/2021;94;292;54;20194
Apollo Diamond Suites;20/06/2021;91;274;18;16625
Apollo Towers;20/06/2021;100;349;55;2740
Alletra Diamond Grand Hotel;21/06/2021;95;220;39;2244
ProLiant Towers;21/06/2021;94;461;61;31282
Aruba Luxury Lodge;21/06/2021;91;348;65;2253
InfoSight Boutique Hotel;21/06/2021;70;199;30;16257
Primera Grand;21/06/2021;70;341;19;22757
dHCI Executive Boutique Hotel;21/06/2021;78;366;50;15914
ProLiant Haven;21/06/2021;85;182;26;2142
Apollo Executive Beach Resort;21/06/2021;75;371;26;25504
Aruba Lodge;21/06/2021;77;169;20;24666
Alletra Haven;21/06/2021;72;220;20;24672
dHCI Platinum Beach Resort;21/06/2021;77;234;34;2759
GreenLake Platinum Heritage Inn;21/06/2021;82;227;31;23491
Pointnext Signature Residences & Suites;21/06/2021;73;358;38;21377
ProLiant Place;21/06/2021;79;335;61;21847
Synergy Golden Grand Hotel;21/06/2021;90;296;43;19559
Alletra Resort;21/06/2021;77;220;27;26053
GreenLake Digital Business Suites;21/06/2021;72;210;15;20453
Apollo Resort & Spa;21/06/2021;71;309;22;17444
Nimble Inn;21/06/2021;85;372;67;2793
Ezmeral Grand Hotel;21/06/2021;86;331;17;20433
Alletra Boutique Hotel;21/06/2021;88;184;20;28447
Simplivity Golden Plaza Hotel;21/06/2021;83;236;13;17831
Cray Villas;21/06/2021;89;429;70;24728
Apollo Diamond Suites;21/06/2021;90;348;65;22221
Apollo Towers;21/06/2021;73;339;33;17932
Alletra Diamond Grand Hotel;22/06/2021;83;287;42;13593
ProLiant Towers;22/06/2021;93;446;33;26903
Aruba Luxury Lodge;22/06/2021;70;144;13;12967
InfoSight Boutique Hotel;22/06/2021;87;386;73;13965
Primera Grand;22/06/2021;86;421;67;19876
dHCI Executive Boutique Hotel;22/06/2021;76;200;16;17751
ProLiant Haven;22/06/2021;89;374;43;17078
Apollo Executive Beach Resort;22/06/2021;73;286;22;15717
Aruba Lodge;22/06/2021;80;360;57;19805
Alletra Haven;22/06/2021;92;356;63;15364
dHCI Platinum Beach Resort;22/06/2021;92;368;72;26813
GreenLake Platinum Heritage Inn;22/06/2021;83;293;56;19465
Pointnext Signature Residences & Suites;22/06/2021;78;341;66;18057
ProLiant Place;22/06/2021;86;312;51;16328
Synergy Golden Grand Hotel;22/06/2021;94;453;83;29054
Alletra Resort;22/06/2021;77;353;68;2234
GreenLake Digital Business Suites;22/06/2021;82;278;15;22502
Apollo Resort & Spa;22/06/2021;74;184;22;15236
Nimble Inn;22/06/2021;81;292;40;20338
Ezmeral Grand Hotel;22/06/2021;89;315;44;2180
Alletra Boutique Hotel;22/06/2021;80;258;46;26928
Simplivity Golden Plaza Hotel;22/06/2021;95;380;46;2236
Cray Villas;22/06/2021;91;285;39;29077
Apollo Diamond Suites;22/06/2021;86;243;13;19032
Apollo Towers;22/06/2021;85;216;22;17176
Alletra Diamond Grand Hotel;23/06/2021;77;308;57;17398
ProLiant Towers;23/06/2021;70;191;37;17576
Aruba Luxury Lodge;23/06/2021;85;339;49;21337
InfoSight Boutique Hotel;23/06/2021;80;381;41;16875
Primera Grand;23/06/2021;86;184;19;30646
dHCI Executive Boutique Hotel;23/06/2021;89;189;30;17154
ProLiant Haven;23/06/2021;86;307;15;16996
Apollo Executive Beach Resort;23/06/2021;87;233;44;2602
Aruba Lodge;23/06/2021;79;169;20;17699
Alletra Haven;23/06/2021;72;358;69;14419
dHCI Platinum Beach Resort;23/06/2021;83;258;33;16587
GreenLake Platinum Heritage Inn;23/06/2021;89;229;40;25786
Pointnext Signature Residences & Suites;23/06/2021;85;251;29;17838
ProLiant Place;23/06/2021;79;245;32;18465
Synergy Golden Grand Hotel;23/06/2021;90;302;27;18019
Alletra Resort;23/06/2021;95;318;17;32175
GreenLake Digital Business Suites;23/06/2021;88;233;45;17473
Apollo Resort & Spa;23/06/2021;77;296;31;21601
Nimble Inn;23/06/2021;82;391;47;27897
Ezmeral Grand Hotel;23/06/2021;92;215;18;20645
Alletra Boutique Hotel;23/06/2021;70;191;34;19308
Simplivity Golden Plaza Hotel;23/06/2021;81;227;18;1947
Cray Villas;23/06/2021;86;422;66;24091
Apollo Diamond Suites;23/06/2021;77;193;36;22008
Apollo Towers;23/06/2021;83;279;41;29002
Alletra Diamond Grand Hotel;24/06/2021;83;208;31;29118
ProLiant Towers;24/06/2021;80;267;34;16372
Aruba Luxury Lodge;24/06/2021;84;250;25;22609
InfoSight Boutique Hotel;24/06/2021;71;250;28;12649
Primera Grand;24/06/2021;91;309;34;26779
dHCI Executive Boutique Hotel;24/06/2021;74;259;39;23264
ProLiant Haven;24/06/2021;82;338;33;19688
Apollo Executive Beach Resort;24/06/2021;79;211;14;1323
Aruba Lodge;24/06/2021;72;144;15;2467
Alletra Haven;24/06/2021;86;311;58;29292
dHCI Platinum Beach Resort;24/06/2021;84;229;41;2644
GreenLake Platinum Heritage Inn;24/06/2021;90;217;23;20413
Pointnext Signature Residences & Suites;24/06/2021;91;399;66;24921
ProLiant Place;24/06/2021;95;379;62;31694
Synergy Golden Grand Hotel;24/06/2021;76;199;13;14626
Alletra Resort;24/06/2021;90;348;30;30018
GreenLake Digital Business Suites;24/06/2021;93;285;24;28342
Apollo Resort & Spa;24/06/2021;70;278;27;13174
Nimble Inn;24/06/2021;95;306;31;3003
Ezmeral Grand Hotel;24/06/2021;79;349;20;1725
Alletra Boutique Hotel;24/06/2021;80;338;39;27412
Simplivity Golden Plaza Hotel;24/06/2021;89;399;50;21366
Cray Villas;24/06/2021;79;320;30;26038
Apollo Diamond Suites;24/06/2021;82;392;35;27748
Apollo Towers;24/06/2021;92;405;38;17872
Alletra Diamond Grand Hotel;25/06/2021;83;169;14;14459
ProLiant Towers;25/06/2021;78;256;26;26613
Aruba Luxury Lodge;25/06/2021;95;438;43;19795
InfoSight Boutique Hotel;25/06/2021;74;322;17;26677
Primera Grand;25/06/2021;78;342;27;18101
dHCI Executive Boutique Hotel;25/06/2021;94;278;25;15549
ProLiant Haven;25/06/2021;70;264;29;15997
Apollo Executive Beach Resort;25/06/2021;70;335;22;16241
Aruba Lodge;25/06/2021;84;416;71;17127
Alletra Haven;25/06/2021;80;321;33;2028
dHCI Platinum Beach Resort;25/06/2021;94;308;34;33067
GreenLake Platinum Heritage Inn;25/06/2021;86;178;23;15204
Pointnext Signature Residences & Suites;25/06/2021;78;257;44;18377
ProLiant Place;25/06/2021;93;186;29;17163
Synergy Golden Grand Hotel;25/06/2021;75;281;38;17942
Alletra Resort;25/06/2021;74;163;19;14942
GreenLake Digital Business Suites;25/06/2021;92;248;22;24329
Apollo Resort & Spa;25/06/2021;84;326;34;27819
Nimble Inn;25/06/2021;88;285;25;15872
Ezmeral Grand Hotel;25/06/2021;87;322;22;28551
Alletra Boutique Hotel;25/06/2021;87;319;32;29388
Simplivity Golden Plaza Hotel;25/06/2021;92;352;18;24405
Cray Villas;25/06/2021;94;445;73;27726
Apollo Diamond Suites;25/06/2021;89;400;73;14801
Apollo Towers;25/06/2021;74;266;38;15275
Alletra Diamond Grand Hotel;26/06/2021;87;291;50;22065
ProLiant Towers;26/06/2021;91;446;53;25896
Aruba Luxury Lodge;26/06/2021;96;424;67;16996
InfoSight Boutique Hotel;26/06/2021;82;360;51;19452
Primera Grand;26/06/2021;97;217;39;28502
dHCI Executive Boutique Hotel;26/06/2021;82;261;27;1934
ProLiant Haven;26/06/2021;79;361;29;13414
Apollo Executive Beach Resort;26/06/2021;94;401;51;1494
Aruba Lodge;26/06/2021;98;275;37;22958
Alletra Haven;26/06/2021;78;345;36;26475
dHCI Platinum Beach Resort;26/06/2021;100;390;54;32577
GreenLake Platinum Heritage Inn;26/06/2021;100;405;21;22603
Pointnext Signature Residences & Suites;26/06/2021;94;212;15;15499
ProLiant Place;26/06/2021;89;186;19;19092
Synergy Golden Grand Hotel;26/06/2021;91;253;41;24864
Alletra Resort;26/06/2021;93;423;58;31402
GreenLake Digital Business Suites;26/06/2021;88;400;48;18127
Apollo Resort & Spa;26/06/2021;78;174;21;13771
Nimble Inn;26/06/2021;80;259;21;17283
Ezmeral Grand Hotel;26/06/2021;83;221;39;21804
Alletra Boutique Hotel;26/06/2021;85;408;42;29258
Simplivity Golden Plaza Hotel;26/06/2021;81;212;33;20875
Cray Villas;26/06/2021;85;333;59;17814
Apollo Diamond Suites;26/06/2021;96;406;20;23534
Apollo Towers;26/06/2021;90;247;42;23381
Alletra Diamond Grand Hotel;27/06/2021;94;294;33;30635
ProLiant Towers;27/06/2021;91;256;50;28537
Aruba Luxury Lodge;27/06/2021;100;467;77;29564
InfoSight Boutique Hotel;27/06/2021;97;383;68;1957
Primera Grand;27/06/2021;100;220;34;28947
dHCI Executive Boutique Hotel;27/06/2021;100;450;30;3179
ProLiant Haven;27/06/2021;91;321;46;26396
Apollo Executive Beach Resort;27/06/2021;92;444;52;21294
Aruba Lodge;27/06/2021;83;270;13;21378
Alletra Haven;27/06/2021;80;297;56;16499
dHCI Platinum Beach Resort;27/06/2021;90;409;70;17532
GreenLake Platinum Heritage Inn;27/06/2021;90;385;74;31996
Pointnext Signature Residences & Suites;27/06/2021;100;428;49;2694
ProLiant Place;27/06/2021;91;293;35;16288
